#{"t_start": 1565650905.5393214, "env_id": "UR5KeepUp-v0"}
r,l,t
-13.671288,50,445.119573
-12.173086,50,446.9888
-17.471038,50,448.956326
-10.690128,50,450.964526
-8.66623,50,452.741155
-9.303707,50,454.501957
-11.155047,50,456.319235
-9.278898,50,458.178133
-14.746984,50,459.971589
-8.763008,50,461.783513
-10.344657,50,463.685408
-20.423685,50,465.548763
-12.07527,50,467.322586
-10.843831,50,469.127275
-10.437258,50,470.96294
-9.120754,50,472.775399
-9.136815,50,474.603395
-9.16225,50,476.423911
-11.550779,50,478.230782
-8.770187,50,480.037023
-10.410947,50,481.83181
-9.966408,50,483.689396
-8.55398,50,485.480081
-9.808299,50,487.26438
-13.345493,50,489.11341
-14.835326,50,490.979152
-20.4731,50,492.809798
-9.819473,50,494.639719
-10.19509,50,496.431923
-10.731067,50,498.285511
-9.639959,50,500.031058
-10.388963,50,501.862004
-9.32736,50,503.658103
-20.539094,50,505.474841
-12.077879,50,507.292599
-10.89368,50,509.060487
-9.688593,50,510.863048
-17.373467,50,512.743173
-9.965297,50,514.511281
-10.889955,50,516.383647
-9.096666,50,518.172512
-10.528269,50,520.028526
-12.982422,50,521.869299
-13.723686,50,523.677281
-11.960725,50,525.504972
-14.879291,50,527.37668
-10.849499,50,529.179662
-14.98431,50,530.961285
-9.654792,50,532.758181
-10.096412,50,534.598397
-12.466084,50,536.426366
-12.931684,50,538.272602
-13.178817,50,540.123073
-10.374397,50,541.990651
-14.04666,50,543.799406
-9.1708,50,545.627509
-11.56068,50,547.426608
-12.557934,50,549.24103
-12.054377,50,551.072409
-16.476345,50,552.852518
-13.595,50,554.69223
-11.974888,50,556.437173
-16.96724,50,558.274226
-8.857396,50,560.062228
-9.89567,50,561.882151
-11.947928,50,563.656879
-8.826397,50,565.461934
-9.011079,50,567.267336
-11.367469,50,569.035894
-13.35192,50,570.968684
-10.231691,50,572.76861
-15.285997,50,574.544182
-9.293536,50,576.415842
-9.803638,50,578.206478
-11.624029,50,580.154329
-9.123336,50,582.059325
-11.053263,50,583.894094
-10.502146,50,585.692431
-9.739083,50,587.565078
-13.623477,50,589.399977
-10.072366,50,591.260836
-15.839341,50,593.044002
-17.171695,50,594.848955
-9.638295,50,596.665859
-10.2841,50,598.586703
-14.292737,50,600.477933
-10.140387,50,602.327917
-13.467875,50,604.184649
-9.183967,50,605.988576
-11.261735,50,607.943975
-9.978124,50,609.752371
-11.485725,50,611.530195
-10.881461,50,613.382564
-14.177771,50,615.161802
-9.11113,50,616.943057
-13.352483,50,618.868432
-9.011297,50,620.758927
-9.972124,50,622.532023
-9.459275,50,624.343935
-16.258836,50,626.133928
-13.786635,50,627.928442
-16.196487,50,629.719992
-9.372504,50,631.520401
-14.970639,50,633.346961
-16.674974,50,635.108185
-17.246284,50,636.973733
-15.593633,50,638.782098
-9.873616,50,640.597196
-9.202415,50,642.388039
-9.524576,50,644.239014
-10.521629,50,646.066074
-9.846351,50,647.976225
-9.917926,50,649.794905
-9.702339,50,651.640481
-8.841463,50,653.607203
-16.409899,50,655.505394
-14.760048,50,657.293607
-14.494033,50,659.231495
-16.689876,50,661.030202
-12.864016,50,662.873196
-10.034941,50,664.63356
-14.965643,50,666.417959
-10.488087,50,668.20699
-9.128387,50,670.06624
-9.32033,50,671.857468
-9.877849,50,673.661256
-11.263782,50,675.499611
-10.82644,50,677.451961
-10.093172,50,679.236891
-9.794346,50,681.067691
-8.917976,50,682.885826
-12.104802,50,684.733364
-15.48342,50,686.613614
-9.013629,50,688.414664
-13.537512,50,690.293867
-13.561323,50,692.169892
-12.742438,50,694.001895
-14.844924,50,695.890371
-10.984301,50,697.843423
-14.403559,50,699.81094
-8.581801,50,701.594539
-8.843698,50,703.386687
-13.904982,50,705.201598
-11.371266,50,707.064363
-15.963497,50,708.882031
-10.386273,50,710.751942
-13.906303,50,712.553403
-10.198238,50,714.48881
-15.435401,50,716.555776
-12.47986,50,718.368415
-16.249869,50,720.249282
-16.04529,50,722.098714
-13.677502,50,723.970908
-17.952607,50,725.933366
-11.02964,50,727.752405
-13.31177,50,729.601408
-15.725381,50,731.434082
-14.747717,50,733.326398
-27.797836,50,735.172946
-27.976813,50,736.999573
-26.136098,50,738.858836
-9.742417,50,740.591942
-13.937162,50,742.506464
-22.893653,50,744.362437
-11.858182,50,746.192979
-13.511775,50,748.043574
-15.486697,50,749.806789
-10.86613,50,751.608748
-9.194208,50,753.448092
-11.759663,50,755.283526
-10.920123,50,757.200588
-9.998282,50,759.067279
-13.420702,50,760.882125
-9.52908,50,762.749028
-8.797947,50,764.592602
-9.378913,50,766.418466
-10.464844,50,768.20024
-10.281863,50,770.029302
-16.954562,50,771.842664
-11.263045,50,773.621298
-12.387478,50,775.385507
-15.743093,50,777.24439
-14.916362,50,779.066222
-11.747179,50,780.864984
-12.837598,50,782.727485
-17.170155,50,784.655317
-13.107138,50,786.456875
-10.057586,50,788.301556
-9.331511,50,790.085733
-13.312247,50,791.892487
-9.23063,50,793.72035
-15.976704,50,795.583818
-10.573197,50,797.457306
-10.24187,50,799.26871
-16.076314,50,801.092283
-12.27826,50,803.010626
-11.737857,50,804.797183
-17.622538,50,806.599937
-14.450413,50,808.467736
-8.735104,50,810.324713
-13.329101,50,812.161493
-11.172381,50,813.952975
-10.333172,50,815.724728
-12.121609,50,817.565193
-9.732903,50,819.347196
-8.498735,50,821.122088
-8.48714,50,822.90246
-17.1642,50,824.775032
-12.460738,50,826.659337
-10.907882,50,828.508813
-18.25019,50,830.382344
-8.19472,50,832.20904
-9.878529,50,833.994772
-9.080873,50,835.810139
-9.122788,50,837.637917
-8.466609,50,839.474411
-8.617117,50,841.304166
-9.408779,50,843.096787
-11.399111,50,844.940832
-8.636589,50,846.742298
-10.777308,50,848.516873
-8.918173,50,850.294683
-10.585443,50,852.100108
-10.064081,50,853.913304
-8.718366,50,855.706342
-9.390762,50,857.550427
-11.686056,50,859.40217
-8.426491,50,861.210909
-8.824371,50,863.026374
-12.327674,50,864.817919
-9.395356,50,866.619865
-8.936848,50,868.406824
-13.679065,50,870.212665
-9.038289,50,871.979096
-11.489758,50,873.83393
-10.136748,50,875.678786
-10.348165,50,877.567637
-9.641466,50,879.521165
-8.690692,50,881.367704
-9.019294,50,883.206221
-11.284093,50,885.031673
-9.567845,50,886.870225
-9.020994,50,888.64289
-9.08057,50,890.485662
-10.276082,50,892.350837
-14.309593,50,894.256088
-9.908666,50,896.05726
-14.317805,50,897.955571
-16.356117,50,899.872457
-13.316945,50,901.797536
-10.690075,50,903.637969
-8.908665,50,905.487758
-9.164967,50,907.328952
-9.462904,50,909.188696
-10.562223,50,911.117613
-10.631727,50,912.952061
-10.653858,50,914.766959
-10.191819,50,916.637558
