#{"env_id": "UR5KeepUp-v0", "t_start": 1565639971.6394267}
r,l,t
9.726832,50,7.419092
-1.060284,50,7.817168
-6.367134,50,10.843327
1.445992,50,12.646815
-7.27498,50,14.279946
-6.172646,50,16.042771
27.091546,50,17.845404
-5.625765,50,19.555191
-7.209604,50,21.370843
-6.363228,50,23.04176
65.105994,50,24.702493
25.928709,50,26.513287
-1.471671,50,28.198058
-6.22217,50,30.035782
-6.403563,50,31.736455
-6.144838,50,33.381146
-6.368341,50,35.171345
38.873778,50,36.824076
-6.478661,50,38.548004
9.635994,50,40.282509
-7.144704,50,41.989356
14.747744,50,43.762275
-6.633115,50,45.483696
26.290999,50,47.167821
-4.773309,50,48.799978
-0.603393,50,50.410224
36.200635,50,52.135607
-1.175863,50,53.734201
-3.557943,50,55.536415
21.734064,50,57.157026
16.970241,50,58.805814
-5.383277,50,60.526769
-2.672806,50,62.139205
28.558883,50,63.847411
-5.267217,50,65.439421
-6.120228,50,67.191449
0.364276,50,68.889914
-7.142501,50,70.512878
18.719822,50,72.293354
-4.155246,50,73.868537
17.975453,50,75.562645
-4.253611,50,77.195292
19.063261,50,78.798177
10.554652,50,80.567602
1.885762,50,82.23844
17.562455,50,83.920694
37.243302,50,85.766815
28.875896,50,87.562382
-2.487509,50,89.365828
-3.68622,50,91.112769
-6.531204,50,92.931294
9.587452,50,94.660405
-2.867549,50,96.412912
0.172778,50,98.144472
7.58192,50,99.972144
3.06494,50,101.644823
-5.471472,50,103.625765
22.131644,50,105.320253
3.601861,50,107.140913
51.920891,50,108.919922
17.411283,50,110.679575
8.644538,50,112.602833
46.404975,50,114.346796
27.909583,50,116.051828
24.053857,50,117.90939
34.578771,50,119.604192
-0.831234,50,121.398252
38.094344,50,123.288
49.317748,50,124.975097
55.164498,50,126.880901
-5.688951,50,128.783417
29.820572,50,130.630103
-7.320913,50,132.433444
-7.04613,50,134.076655
20.467386,50,135.615223
11.367092,50,137.121515
12.097798,50,138.657451
3.760074,50,140.408673
21.870865,50,142.08234
31.909803,50,143.92252
19.819565,50,145.656644
10.089582,50,147.42686
8.50961,50,149.207096
-8.218648,50,150.928993
6.887243,50,152.751765
23.423541,50,154.385835
36.778242,50,156.10169
0.096751,50,157.87587
16.291846,50,159.666526
20.171767,50,161.484591
31.064806,50,163.149395
8.358535,50,164.879754
14.961716,50,166.605721
18.852122,50,168.221036
17.411773,50,170.033898
0.547531,50,171.69841
17.429639,50,173.457196
41.180967,50,175.131185
33.796851,50,176.782317
38.294715,50,178.520375
63.574594,50,180.335692
65.929024,50,181.965847
15.100154,50,183.721244
78.952398,50,185.46776
66.786386,50,187.29161
42.711536,50,188.898714
32.637671,50,190.539374
43.459243,50,192.234864
30.650498,50,193.851243
13.539841,50,195.590647
12.427059,50,197.166567
22.876058,50,198.8645
17.212939,50,200.431195
68.821618,50,202.131833
37.248061,50,203.871166
-4.942372,50,205.510579
7.256523,50,207.299317
-10.749373,50,209.02681
9.608574,50,210.9202
68.986099,50,212.636415
49.962159,50,214.241233
62.71997,50,215.943701
15.082417,50,217.651877
76.3731,50,219.330333
31.99241,50,221.065385
-8.653588,50,222.795655
31.11793,50,224.567607
38.951871,50,226.296998
61.396696,50,227.960149
-9.555284,50,229.857027
63.851357,50,231.582377
93.641984,50,233.358264
34.894244,50,235.175047
62.075204,50,236.851607
-11.986646,50,238.694854
64.531416,50,240.675777
23.874094,50,242.400895
-10.51401,50,244.208533
26.820464,50,245.903098
2.623154,50,247.728074
-1.87682,50,249.569497
-6.349934,50,251.258153
36.332713,50,252.984613
45.632675,50,255.016942
42.506769,50,256.848855
-6.383364,50,258.680946
26.709434,50,260.389793
-0.316852,50,262.114682
2.724761,50,263.933239
-4.607188,50,265.89414
1.698868,50,267.645496
-7.809862,50,269.481769
-4.616751,50,271.100431
11.295366,50,272.923998
-6.222135,50,274.635458
-5.356475,50,276.307916
26.4922,50,277.97293
10.797746,50,279.750216
12.589096,50,281.490558
-7.232292,50,283.091208
28.531197,50,284.623182
5.995383,50,286.217511
18.914349,50,287.884958
35.762159,50,289.638643
16.700796,50,291.536789
66.847909,50,293.340324
21.646882,50,295.139578
23.717503,50,296.910739
14.423291,50,298.724375
3.07752,50,300.543836
13.026833,50,302.162711
10.713694,50,303.979035
27.977446,50,305.616152
47.566559,50,307.37717
14.531012,50,309.172004
42.820716,50,310.789069
22.941182,50,312.581269
34.149785,50,314.203435
13.300637,50,315.889938
20.289,50,317.703525
4.79218,50,319.339032
0.502194,50,321.145527
32.813902,50,322.744244
16.800637,50,324.476204
33.372391,50,326.320152
17.363028,50,327.993196
17.778648,50,329.781146
15.963974,50,331.492535
0.571004,50,333.153829
40.021507,50,334.911146
40.843925,50,336.594759
16.705875,50,338.32023
21.517312,50,339.975064
18.391479,50,341.640687
18.364377,50,343.503941
17.959624,50,345.146534
35.447161,50,346.952319
15.480769,50,348.702178
5.559136,50,350.401296
6.809747,50,352.210403
37.57337,50,353.843588
4.332512,50,355.530561
14.982453,50,357.321877
-2.548148,50,359.037057
19.893567,50,360.833697
11.999136,50,362.484931
10.951067,50,364.191177
-5.583237,50,365.990985
27.640814,50,367.652337
7.902933,50,369.371075
-0.950957,50,371.04526
1.544744,50,372.696595
0.85998,50,374.390437
17.455965,50,376.100926
37.585621,50,377.831397
9.923875,50,379.514689
-0.288801,50,381.195599
9.641577,50,382.927491
8.103416,50,384.577629
1.468347,50,386.302768
23.637984,50,387.915718
5.999782,50,389.619359
-4.501459,50,391.46679
8.382491,50,393.209497
13.043348,50,394.956855
-4.377464,50,396.634323
15.094823,50,398.315064
-4.717361,50,400.184076
-4.615252,50,401.917874
-0.047609,50,403.733662
0.233351,50,405.538194
-1.088858,50,407.16562
1.817531,50,408.961076
-5.497185,50,410.634375
26.733114,50,412.370063
10.272994,50,414.073639
36.358793,50,415.723094
1.398677,50,417.47075
18.412487,50,419.088908
35.906283,50,420.805269
54.937062,50,422.505013
26.002604,50,424.119246
75.803767,50,425.969702
29.887641,50,427.57866
59.147125,50,429.361217
70.924955,50,430.783561
25.750112,50,432.305674
40.829918,50,433.838061
42.27785,50,435.313972
79.551495,50,436.989893
69.917651,50,438.611381
44.1253,50,440.494916
65.599679,50,442.175555
55.653291,50,443.892046
34.714449,50,445.588384
55.723846,50,447.281687
38.394553,50,449.086968
21.344023,50,450.840957
59.346542,50,452.524001
77.324413,50,454.231984
51.224049,50,455.866997
100.450829,50,457.598092
19.551604,50,459.289463
90.653409,50,460.978764
61.309625,50,462.664262
82.051333,50,464.27678
51.579628,50,466.066587
63.281152,50,467.703248
18.431647,50,469.503837
74.398843,50,471.323559
87.807624,50,472.995063
23.190817,50,474.8654
42.815209,50,476.605262
75.652615,50,478.366549
62.037655,50,480.20887
69.927115,50,481.912905
96.557203,50,483.676752
53.835675,50,485.429773
67.668972,50,487.126526
76.911489,50,489.084466
49.518412,50,490.810087
33.377061,50,492.471411
73.079865,50,494.289848
65.377074,50,495.925846
28.52024,50,497.64479
42.456408,50,499.304903
52.11239,50,500.958774
49.38947,50,502.708107
19.772178,50,504.439599
67.861263,50,506.26254
29.39723,50,508.19112
52.965013,50,509.821464
50.532677,50,511.727901
90.262924,50,513.365647
67.569109,50,515.062629
78.158889,50,516.845812
62.193925,50,518.562417
73.59635,50,520.388155
75.11847,50,522.307616
51.675884,50,523.999474
8.680407,50,525.898949
96.161172,50,527.610374
32.911316,50,529.501805
71.883028,50,531.533226
18.460122,50,533.288039
7.413831,50,535.115028
31.376902,50,536.856445
29.71954,50,538.580542
0.303925,50,540.440059
-4.329245,50,542.224986
96.990208,50,544.049078
20.097413,50,545.799497
-0.266223,50,547.472963
33.612874,50,549.38458
71.542612,50,551.202434
23.367338,50,552.939358
124.318465,50,554.721591
51.158073,50,556.362905
32.291823,50,558.260488
44.043432,50,559.949263
33.211912,50,561.639661
25.143241,50,563.411416
107.578849,50,565.084543
50.826136,50,566.797018
65.376766,50,568.492567
42.136969,50,570.139563
36.136674,50,571.912174
41.690305,50,573.579459
90.995895,50,575.339508
95.340877,50,577.046729
44.853411,50,578.750874
8.994437,50,580.261291
78.039075,50,581.791818
42.8207,50,583.277489
84.857554,50,584.892019
40.933736,50,586.653707
61.056332,50,588.44946
74.693509,50,590.1554
29.624319,50,592.1836
75.052218,50,593.858808
92.581953,50,595.675604
44.675078,50,597.408021
89.452011,50,599.089083
32.39456,50,601.098719
68.523549,50,602.910687
78.998935,50,604.68148
40.435873,50,606.521823
71.409955,50,608.401555
95.158351,50,610.173908
64.419484,50,611.922722
86.599869,50,613.653621
91.242089,50,615.654703
55.979077,50,617.286319
48.179694,50,619.065127
55.69684,50,620.756596
94.837691,50,622.616219
106.164169,50,624.455555
69.786048,50,626.200275
86.202436,50,627.940532
33.387934,50,629.87996
51.469238,50,631.638014
112.362386,50,633.394535
51.27127,50,635.186562
66.995304,50,636.865001
94.561701,50,638.729911
98.423711,50,640.593142
96.466881,50,642.280877
25.611827,50,644.172473
73.790026,50,645.981561
75.812876,50,647.865393
59.230428,50,649.709353
80.715759,50,651.393589
51.699302,50,653.382057
65.527645,50,655.210828
94.528436,50,656.998839
100.745242,50,658.907256
52.078272,50,660.714746
89.218195,50,662.46982
90.262583,50,664.395632
77.882142,50,666.100219
106.121966,50,667.878148
46.793334,50,669.68788
85.977089,50,671.358149
64.677372,50,673.353792
91.011798,50,675.023824
59.78026,50,676.782609
96.012107,50,678.635617
55.496662,50,680.472647
101.935441,50,682.442375
50.998961,50,684.335201
64.474039,50,686.37179
80.7362,50,688.265699
66.827941,50,690.064663
94.995311,50,691.937645
67.541388,50,693.6567
98.145511,50,695.398777
93.123901,50,697.226412
86.550089,50,698.97154
94.876317,50,700.849019
79.107347,50,702.573508
92.28211,50,704.398005
116.579894,50,706.223326
68.978584,50,707.962981
94.612665,50,709.770622
70.749041,50,711.492322
120.930632,50,713.140967
106.279355,50,714.937043
89.546568,50,716.665843
92.099385,50,718.44238
114.785448,50,720.173133
101.405193,50,721.818538
75.45696,50,723.682414
94.895084,50,725.372674
100.019536,50,727.218491
113.539897,50,729.033673
111.19891,50,730.63223
100.75496,50,732.258401
106.862218,50,733.794333
114.749511,50,735.233229
71.264501,50,736.894148
65.250925,50,738.677334
123.008956,50,740.379118
116.684086,50,742.168557
85.394651,50,743.948344
53.263796,50,745.627265
45.936798,50,747.279022
69.991141,50,749.316777
116.378712,50,750.956229
64.332888,50,752.75519
86.580227,50,754.493097
83.929851,50,756.235985
70.023782,50,758.132579
115.890345,50,759.820577
69.859151,50,761.462865
52.67808,50,763.224906
110.599575,50,764.94202
114.426565,50,766.883762
104.486784,50,768.549019
88.615653,50,770.265114
79.483848,50,772.00358
66.867927,50,773.647792
77.668515,50,775.316291
80.269939,50,777.16089
79.684074,50,778.839387
107.902878,50,780.659703
89.310603,50,782.347543
127.947269,50,784.013889
90.418736,50,785.742194
102.836705,50,787.543215
43.402734,50,789.355663
72.507973,50,791.063702
110.164674,50,792.895282
113.711144,50,794.752386
128.462664,50,796.462067
117.478954,50,798.133371
91.329992,50,800.179285
113.182074,50,801.803943
120.204345,50,803.566038
58.558468,50,805.394655
127.830894,50,807.037714
108.999767,50,808.883597
54.642261,50,810.702497
74.551896,50,812.443166
87.763732,50,814.18016
121.620344,50,815.825164
103.539798,50,817.576067
114.637845,50,819.207072
111.136587,50,821.062606
106.342653,50,823.034643
110.359993,50,824.662094
78.972362,50,826.50069
104.555257,50,828.308644
110.2632,50,829.999839
118.510085,50,831.741934
95.937436,50,833.421787
133.930293,50,835.099507
68.629524,50,836.849706
72.178036,50,838.54567
77.561135,50,840.365999
107.802985,50,842.107674
98.430311,50,843.816562
131.081919,50,845.725363
74.528476,50,847.49217
91.157278,50,849.22037
106.218787,50,851.091812
60.544056,50,852.916203
130.567759,50,854.794546
123.970609,50,856.498071
111.63015,50,858.176042
107.46962,50,860.043754
125.998872,50,861.680393
95.166814,50,863.365429
111.788805,50,865.193057
111.307724,50,866.921025
112.538375,50,868.865069
75.511629,50,870.606234
104.615137,50,872.270773
82.571034,50,874.055671
92.072827,50,875.702058
95.133385,50,877.444955
