stats_g/std,test/mean_Q,test/episode,epoch,stats_o/mean,test/success_rate,train/success_rate,stats_o/std,train/episode,stats_g/mean
0.09594482,-2.9434469,20.0,0,0.23815788,0.00625,0.01,0.044195298,100.0,0.85621905
0.09599278,-4.9618635,40.0,1,0.23846628,0.00625,0.011875,0.04403135,200.0,0.8574653
0.0959721,-6.9867644,60.0,2,0.2386113,0.0125,0.013750000000000002,0.043888625,300.0,0.85790616
0.09595426,-8.839144,80.0,3,0.23875877,0.015625,0.0125,0.04576339,400.0,0.8583889
0.095800124,-10.728029,100.0,4,0.23875,0.009375000000000001,0.01625,0.049004152,500.0,0.8584144
0.09556007,-12.394337,120.0,5,0.23878685,0.015625,0.01125,0.051975217,600.0,0.858368
0.0960798,-14.06002,140.0,6,0.23884009,0.00625,0.009375000000000001,0.05806792,700.0,0.8583355
0.096528865,-15.466984,160.0,7,0.238866,0.0125,0.019375,0.06385142,800.0,0.8583762
0.096869946,-16.723991,180.0,8,0.23904526,0.025,0.014375000000000002,0.06820118,900.0,0.8583954
0.09700488,-18.216015,200.0,9,0.23917083,0.028125000000000004,0.018125000000000002,0.07144897,1000.0,0.858285
0.09732031,-19.290005,220.0,10,0.23923038,0.040625,0.013125000000000001,0.07374701,1100.0,0.85838175
0.097605966,-21.116032,240.0,11,0.23929949,0.009375000000000001,0.015,0.07534355,1200.0,0.858186
0.09766386,-21.88829,260.0,12,0.23934548,0.028125000000000004,0.024375,0.07663513,1300.0,0.8581724
0.097775705,-22.770947,280.0,13,0.2393198,0.034375,0.015625,0.07766283,1400.0,0.85813755
0.09784446,-23.96245,300.0,14,0.23938595,0.034375,0.018750000000000003,0.07908084,1500.0,0.85810596
0.098112285,-24.66109,320.0,15,0.23938201,0.028125,0.015000000000000001,0.08031964,1600.0,0.85796237
0.09836376,-25.518322,340.0,16,0.23943417,0.043750000000000004,0.02125,0.08214946,1700.0,0.8579232
0.09903041,-26.217333,360.0,17,0.23944955,0.05,0.0325,0.08453542,1800.0,0.8579459
0.09940443,-26.734694,380.0,18,0.23950666,0.043750000000000004,0.025625,0.08711461,1900.0,0.85797054
0.10016016,-27.025913,400.0,19,0.2395345,0.059375,0.026250000000000002,0.09024749,2000.0,0.8580623
0.10197461,-25.37741,420.0,20,0.23965006,0.084375,0.045625,0.09452265,2100.0,0.8583186
0.103129156,-26.12429,440.0,21,0.23972717,0.159375,0.045,0.09864781,2200.0,0.8583943
0.10449264,-23.961475,460.0,22,0.2398811,0.18437499999999998,0.0675,0.1027008,2300.0,0.8584697
0.1055545,-22.503923,480.0,23,0.2399725,0.22812500000000002,0.084375,0.105911896,2400.0,0.85838455
0.106183946,-22.073643,500.0,24,0.2399944,0.303125,0.15250000000000002,0.10976605,2500.0,0.85837764
0.10691782,-19.320435,520.0,25,0.23995447,0.46875,0.17625,0.113295905,2600.0,0.8583169
0.107509516,-18.244846,540.0,26,0.24003445,0.5,0.21687499999999998,0.116689965,2700.0,0.85847616
0.10788223,-15.601049,560.0,27,0.24016814,0.628125,0.265,0.11998985,2800.0,0.8587492
0.10822845,-15.39719,580.0,28,0.24020214,0.65,0.3175,0.12318997,2900.0,0.8590253
0.10862496,-14.333935,600.0,29,0.2403027,0.653125,0.35,0.12614208,3000.0,0.85947806
0.10900482,-13.801342,620.0,30,0.24038143,0.6656249999999999,0.36124999999999996,0.12886786,3100.0,0.85992175
0.109320946,-13.325617,640.0,31,0.24047782,0.6343749999999999,0.349375,0.13134915,3200.0,0.86028415
0.11060906,-12.206104,660.0,32,0.24056058,0.7,0.37375,0.1336053,3300.0,0.86049986
0.11073566,-11.006105,680.0,33,0.24065769,0.7374999999999999,0.381875,0.13555178,3400.0,0.8608255
0.1107975,-11.244622,700.0,34,0.24079369,0.75625,0.39125,0.13743746,3500.0,0.8611129
0.11084332,-11.204407,720.0,35,0.24095127,0.8187500000000001,0.39375000000000004,0.13914695,3600.0,0.86144954
0.11112704,-8.795473,740.0,36,0.24112892,0.8531249999999999,0.410625,0.14087355,3700.0,0.86175317
0.11153831,-10.42777,760.0,37,0.24133286,0.65625,0.434375,0.14248794,3800.0,0.86210185
0.11170697,-8.309627,780.0,38,0.2415192,0.8687499999999999,0.406875,0.14402585,3900.0,0.86246604
0.112793766,-7.851555,800.0,39,0.24168214,0.8843749999999999,0.41250000000000003,0.14553624,4000.0,0.86288285
0.11300684,-7.4411497,820.0,40,0.24188974,0.815625,0.42437500000000006,0.14679572,4100.0,0.8632798
0.11327029,-6.734004,840.0,41,0.24204059,0.90625,0.41625,0.14794743,4200.0,0.86359507
0.11352712,-7.0340877,860.0,42,0.24217556,0.8375,0.4275,0.14898199,4300.0,0.8639474
0.113776326,-6.649157,880.0,43,0.24229518,0.815625,0.4325,0.14999959,4400.0,0.8641853
0.116506755,-5.9846387,900.0,44,0.24235684,0.89375,0.395,0.15097024,4500.0,0.86441356
0.11673909,-6.6391587,920.0,45,0.2424205,0.803125,0.390625,0.15168104,4600.0,0.86464643
0.11700111,-5.2761655,940.0,46,0.2424958,0.9125,0.41437500000000005,0.15230218,4700.0,0.8649023
0.117182575,-5.3264503,960.0,47,0.24257976,0.9093749999999999,0.42500000000000004,0.152832,4800.0,0.86514395
0.11726276,-4.2749543,980.0,48,0.24264649,0.903125,0.42125,0.15333231,4900.0,0.86533564
0.11735529,-4.9529037,1000.0,49,0.24268627,0.803125,0.399375,0.1538547,5000.0,0.8654726
0.11723254,-3.8906999,1020.0,50,0.24269515,0.7749999999999999,0.3675,0.15427047,5100.0,0.8655362
