#{"t_start": 1565653311.5267935, "env_id": "UR5KeepUp-v0"}
r,l,t
-19.176343,50,3.050788
-20.69269,50,3.374261
-18.878014,50,5.845293
-19.181212,50,7.76706
-17.119016,50,9.636736
-24.101857,50,11.574873
-17.842316,50,13.511037
-21.139453,50,15.347494
-23.164688,50,17.195009
-24.709731,50,19.072056
-22.131317,50,21.010511
-18.469322,50,22.915602
-16.258679,50,24.844381
-19.93975,50,26.70661
-19.204724,50,28.580124
-22.192025,50,30.434274
-20.390352,50,32.319097
-17.902063,50,34.163731
-19.237386,50,36.061867
